skew	whisker_min	box_min	median	box_high	whisker_high
0.5	4589.0	4631.95	4674.9	4704.4	4733.9
0.6	5528.0	5573.8	5619.6	5639.75	5659.9
0.7	7845.0	7867.950000000001	7890.900000000001	7903.5	7916.1
0.8	15460.800000000001	15523.35	15585.9	15676.650000000001	15767.400000000001
0.9	49633.0	50154.149999999994	50675.299999999996	50788.899999999994	50902.5
0.99	227432.2	227645.5	227858.80000000002	227982.25	228105.69999999998
1.1	231687.5	232113.05	232538.6	232761.95	232985.3
1.2	233543.6	234258.5	234973.40000000002	235164.40000000002	235355.4
1.3	234141.8	234549.34999999998	234956.9	235100.8	235244.7
1.4	233836.9	234218.75	234600.60000000003	234972.55000000002	235344.5
1.5	235245.69999999998	235267.84999999998	235290.0	235359.7	235429.40000000002
