skew	start_key	end_key	range_id	range_size_mb	lease_holder	lease_holder_locality	replicas	replica_localities
0	0	30658	21	0.222649	1	region=london	{1}	{region=london}
0.1	0	44510	21	0.43611	1	region=london	{1}	{region=london}
0.2	0	13804	21	0.228087	1	region=london	{1}	{region=london}
0.3	0	18182	21	0.407683	2	region=tokyo	{2}	{region=tokyo}
0.4	0	8352	21	0.364159	2	region=tokyo	{2}	{region=tokyo}
0.5	0	3585	21	0.336507	2	region=newyork	{2}	{region=newyork}
0.6	0	404	21	0.234602	1	region=london	{1}	{region=london}
0.7	0	34	21	0.18785	3	region=tokyo	{3}	{region=tokyo}
0.8	0	8	21	0.2428	2	region=tokyo	{2}	{region=tokyo}
0.9	0	2	21	0.24045	2	region=tokyo	{2}	{region=tokyo}
0.99	0	2	21	0.43201	2	region=tokyo	{2}	{region=tokyo}
1.1	0	1	21	0.408485	1	region=london	{1}	{region=london}
1.2	0	1	21	0.446225	2	region=newyork	{2}	{region=newyork}
1.3	0	1	21	0.435385	2	region=newyork	{2}	{region=newyork}
1.4	0	2	21	0.68939	2	region=tokyo	{2}	{region=tokyo}
1.5	0	1	21	0.442305	3	region=newyork	{3}	{region=newyork}
1.6	0	1	21	0.432065	3	region=newyork	{3}	{region=newyork}
1.7	0	1	22	0.521565	3	region=tokyo	{3}	{region=tokyo}
1.8	0	1	21	0.439065	2	region=newyork	{2}	{region=newyork}
1.9	0	1	21	0.505605	2	region=tokyo	{2}	{region=tokyo}
2.0	0	1	21	0.494585	1	region=london	{1}	{region=london}
